timestamp,region_id,demand_mw
2023-01-01,India,20025.470132474227
2023-01-02,India,20437.338695490816
2023-01-03,India,20010.293806652215
2023-01-04,India,20193.189895800315
2023-01-05,India,20281.237143735845
2023-01-06,India,20642.004973641855
2023-01-07,India,20565.729599147737
2023-01-08,India,20634.785207633457
2023-01-09,India,20959.413476935173
2023-01-10,India,20877.157960195913
2023-01-11,India,20825.60060622538
2023-01-12,India,20940.40761043167
2023-01-13,India,20808.4714718788
2023-01-14,India,21072.171783979946
2023-01-15,India,20989.66139175491
2023-01-16,India,21115.261614974446
2023-01-17,India,20988.509702411717
2023-01-18,India,21075.781026420413
2023-01-19,India,20747.333449281516
2023-01-20,India,20956.264775955195
2023-01-21,India,20949.687049691842
2023-01-22,India,20915.90663482991
2023-01-23,India,20617.50608131608
2023-01-24,India,20863.981058684283
2023-01-25,India,20674.60368082776
2023-01-26,India,20620.04432261194
2023-01-27,India,20653.25564879944
2023-01-28,India,20636.987557157012
2023-01-29,India,20528.531054874238
2023-01-30,India,20329.686937866256
2023-01-31,India,20169.20281471978
2023-02-01,India,19950.82699928958
2023-02-02,India,19899.430245938205
2023-02-03,India,19894.380745704337
2023-02-04,India,19901.83255020141
2023-02-05,India,19708.6646155553
2023-02-06,India,19558.511361848537
2023-02-07,India,19474.239001114787
2023-02-08,India,19353.61159966486
2023-02-09,India,19371.789994696544
2023-02-10,India,19304.715951025846
2023-02-11,India,19178.29733034281
2023-02-12,India,19229.639452483374
2023-02-13,India,18960.94730324252
2023-02-14,India,19055.468860967845
2023-02-15,India,18980.993877628
2023-02-16,India,19047.49621946659
2023-02-17,India,18922.299861607855
2023-02-18,India,19066.335525860693
2023-02-19,India,19039.914667574067
2023-02-20,India,19125.657466036788
2023-02-21,India,19170.466581228433
2023-02-22,India,19104.909993977762
2023-02-23,India,19148.197804965894
2023-02-24,India,19179.806181856344
2023-02-25,India,19226.20308483731
2023-02-26,India,19177.11801111849
2023-02-27,India,19672.64083100847
2023-02-28,India,19558.53071445284
2023-03-01,India,19727.83141773101
2023-03-02,India,19847.485299968255
2023-03-03,India,19787.61781364785
2023-03-04,India,19837.780224384984
2023-03-05,India,19879.22373575508
2023-03-06,India,19958.518966177366
2023-03-07,India,20136.098110545066
2023-03-08,India,20290.440658363135
2023-03-09,India,20364.48840412605
2023-03-10,India,20548.365305502517
2023-03-11,India,20644.993944042457
2023-03-12,India,20839.39237464957
2023-03-13,India,20534.112940805742
2023-03-14,India,20766.983210824597
2023-03-15,India,20857.89087095667
2023-03-16,India,21043.06698014882
2023-03-17,India,20937.98850466515
2023-03-18,India,21024.122177996658
2023-03-19,India,21004.53890922478
2023-03-20,India,20952.66333995569
2023-03-21,India,21019.921927539377
2023-03-22,India,21039.706605030693
2023-03-23,India,21069.412423382044
2023-03-24,India,20814.479067632274
2023-03-25,India,20855.275871071535
2023-03-26,India,20783.827686531364
2023-03-27,India,20774.521061482195
2023-03-28,India,20693.417732027112
2023-03-29,India,20727.088043688567
2023-03-30,India,20632.9112669596
2023-03-31,India,20539.091815536547
2023-01-01,Maharashtra,5084.300377248142
2023-01-02,Maharashtra,5019.068403613822
2023-01-03,Maharashtra,5209.805888314237
2023-01-04,Maharashtra,5285.8580407700265
2023-01-05,Maharashtra,5320.303445006618
2023-01-06,Maharashtra,5424.775510567622
2023-01-07,Maharashtra,5656.835616582853
2023-01-08,Maharashtra,5481.3692879567425
2023-01-09,Maharashtra,5570.16363324966
2023-01-10,Maharashtra,5818.648489526029
2023-01-11,Maharashtra,5912.47942728874
2023-01-12,Maharashtra,6037.469870168384
2023-01-13,Maharashtra,5999.480378047331
2023-01-14,Maharashtra,6011.131425282854
2023-01-15,Maharashtra,5812.134472446924
2023-01-16,Maharashtra,5995.142151172545
2023-01-17,Maharashtra,6102.722770108307
2023-01-18,Maharashtra,6015.135505631639
2023-01-19,Maharashtra,5913.284268896601
2023-01-20,Maharashtra,5944.063704887319
2023-01-21,Maharashtra,5933.035411031347
2023-01-22,Maharashtra,5862.141925163792
2023-01-23,Maharashtra,6009.521689174999
2023-01-24,Maharashtra,5800.459113810211
2023-01-25,Maharashtra,5642.997089045944
2023-01-26,Maharashtra,5383.279058520802
2023-01-27,Maharashtra,5615.027909502397
2023-01-28,Maharashtra,5237.8967126613825
2023-01-29,Maharashtra,5363.486228211113
2023-01-30,Maharashtra,5136.643060269527
